Title,Author,Price
A Light in the Attic,Poetry,£51.77
Tipping the Velvet,Historical Fiction,£53.74
Soumission,Fiction,£50.10
Sharp Objects,Mystery,£47.82
Sapiens: A Brief History of Humankind,History,£54.23
The Requiem Red,Young Adult,£22.65
The Dirty Little Secrets of Getting Your Dream Job,Business,£33.34
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,£17.93
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,£22.60
The Black Maria,Poetry,£52.15
"Starving Hearts (Triangular Trade Trilogy, #1)",Default,£13.99
Shakespeare's Sonnets,Poetry,£20.66
Set Me Free,Young Adult,£17.46
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,£52.29
Rip it Up and Start Again,Music,£35.02
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,£57.25
Olio,Poetry,£23.88
Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,£37.59
Libertarianism for Beginners,Politics,£51.33
It's Only the Himalayas,Travel,£45.17
